t,P(t)
871.0,0.00034
872.0,0.00027
873.0,0.00024
874.0,0.00038
875.0,0.00031
876.0,0.0002
877.0,0.00034
878.0,0.00022
879.0,0.00019
880.0,0.00025
881.0,0.00033
882.0,0.0003
883.0,0.0004
884.0,0.00032
885.0,0.00025
886.0,0.00028
887.0,0.00026
888.0,0.00034
889.0,0.00034
890.0,0.00019
891.0,0.00021
892.0,0.0003
893.0,0.00023
894.0,0.00023
895.0,0.00037
896.0,0.00032
897.0,0.00022
898.0,0.00024
899.0,0.00038
900.0,0.00031
901.0,0.00018
902.0,0.00029
903.0,0.0003
904.0,0.00033
905.0,0.0003
906.0,0.00042
907.0,0.00028
908.0,0.00027
909.0,0.00037
910.0,0.00031
911.0,0.00032
912.0,0.00029
913.0,0.00031
914.0,0.0003
915.0,0.00034
916.0,0.00033
917.0,0.00029
918.0,0.00027
919.0,0.00027
920.0,0.00035
921.0,0.00025
922.0,0.00032
923.0,0.00028
924.0,0.00032
925.0,0.00033
926.0,0.00025
927.0,0.00031
928.0,0.0003
929.0,0.00033
930.0,0.00031
931.0,0.00037
932.0,0.00032
933.0,0.00024
934.0,0.00022
935.0,0.00039
936.0,0.00029
937.0,0.00026
938.0,0.0003
939.0,0.00036
940.0,0.00029
941.0,0.00031
942.0,0.0003
943.0,0.00033
944.0,0.00024
945.0,0.00023
946.0,0.00033
947.0,0.00035
948.0,0.00039
949.0,0.00022
950.0,0.00029
951.0,0.00041
952.0,0.00026
953.0,0.00028
954.0,0.00018
955.0,0.00031
956.0,0.00035
957.0,0.00028
958.0,0.00029
959.0,0.00036
960.0,0.00026
961.0,0.00034
962.0,0.00023
963.0,0.00035
964.0,0.00025
965.0,0.00029
966.0,0.00023
967.0,0.00029
968.0,0.0003
969.0,0.00034
970.0,0.0003
971.0,0.00029
972.0,0.0003
973.0,0.00031
974.0,0.0003
975.0,0.00032
976.0,0.00027
977.0,0.00033
978.0,0.00026
979.0,0.00026
980.0,0.00031
981.0,0.00041
982.0,0.00031
983.0,0.00031
984.0,0.00027
985.0,0.00032
986.0,0.00029
987.0,0.00026
988.0,0.00033
989.0,0.00016
990.0,0.00032
991.0,0.00037
992.0,0.00027
993.0,0.00025
994.0,0.0003
995.0,0.00027
996.0,0.00035
997.0,0.00024
998.0,0.00031
999.0,0.00027
1000.0,0.00027
1001.0,0.00023
1002.0,0.00025
1003.0,0.00023
1004.0,0.00029
1005.0,0.0002
1006.0,0.00026
1007.0,0.00023
1008.0,0.00027
1009.0,0.00026
1010.0,0.00038
1011.0,0.00026
1012.0,0.00025
1013.0,0.00019
1014.0,0.00031
1015.0,0.00027
1016.0,0.00034
1017.0,0.00022
1018.0,0.00024
1019.0,0.00026
1020.0,0.00034
1021.0,0.00027
1022.0,0.00035
1023.0,0.00031
1024.0,0.00026
1025.0,0.00024
1026.0,0.00022
1027.0,0.00029
1028.0,0.00026
1029.0,0.00021
1030.0,0.00021
1031.0,0.00032
1032.0,0.00026
1033.0,0.00033
1034.0,0.00027
1035.0,0.00034
1036.0,0.00024
1037.0,0.00027
1038.0,0.00026
1039.0,0.00024
1040.0,0.00024
1041.0,0.0003
1042.0,0.00014
1043.0,0.00037
1044.0,0.00031
1045.0,0.00025
1046.0,0.00026
1047.0,0.00027
1048.0,0.00021
1049.0,0.00021
1050.0,0.00031
1051.0,0.00037
1052.0,0.00018
1053.0,0.00025
1054.0,0.00025
1055.0,0.00031
1056.0,0.00031
1057.0,0.00031
1058.0,0.00023
1059.0,0.00033
1060.0,0.00028
1061.0,0.00021
1062.0,0.0002
1063.0,0.00028
1064.0,0.00025
1065.0,0.0003
1066.0,0.00016
1067.0,0.00019
1068.0,0.00026
1069.0,0.0002
1070.0,0.00026
1071.0,0.0002
1072.0,0.00019
1073.0,0.00018
1074.0,0.00024
1075.0,0.00034
1076.0,0.00029
1077.0,0.00026
1078.0,0.00027
1079.0,0.00042
1080.0,0.0003
1081.0,0.00031
1082.0,0.00028
1083.0,0.00028
1084.0,0.00028
1085.0,0.00014
1086.0,0.00022
1087.0,0.00032
1088.0,0.00026
1089.0,0.00029
1090.0,0.0002
1091.0,0.00024
1092.0,0.00029
1093.0,0.00032
1094.0,0.00024
1095.0,0.00036
1096.0,0.00027
1097.0,0.00036
1098.0,0.00031
1099.0,0.00027
1100.0,0.00033
1101.0,0.00021
1102.0,0.00027
1103.0,0.00027
1104.0,0.0003
1105.0,0.00025
1106.0,0.00026
1107.0,0.00032
1108.0,0.0003
1109.0,0.00017
1110.0,0.00022
1111.0,0.00025
1112.0,0.00031
1113.0,0.00024
1114.0,0.0002
1115.0,0.00025
1116.0,0.00028
1117.0,0.00015
1118.0,0.00022
1119.0,0.00026
1120.0,0.00033
1121.0,0.0002
1122.0,0.00029
1123.0,0.00022
1124.0,0.0003
1125.0,0.00023
1126.0,0.00022
1127.0,0.00026
1128.0,0.0002
1129.0,0.00021
1130.0,0.00028
1131.0,0.00021
1132.0,0.00021
1133.0,0.00027
1134.0,0.00021
1135.0,0.00032
1136.0,0.00032
1137.0,0.00029
1138.0,0.00039
1139.0,0.00025
1140.0,0.00024
1141.0,0.00026
1142.0,0.00021
1143.0,0.00029
1144.0,0.00029
1145.0,0.00018
1146.0,0.00028
1147.0,0.00028
1148.0,0.00025
1149.0,0.00032
1150.0,0.00021
1151.0,0.00019
1152.0,0.00028
1153.0,0.00024
1154.0,0.00027
1155.0,0.00027
1156.0,0.00025
1157.0,0.00029
1158.0,0.00014
1159.0,0.00021
1160.0,0.00023
1161.0,0.00028
1162.0,0.00029
1163.0,0.00023
1164.0,0.00021
1165.0,0.00024
1166.0,0.00029
1167.0,0.0003
1168.0,0.00025
1169.0,0.00019
1170.0,0.00024
1171.0,0.00029
1172.0,0.00036
1173.0,0.00025
1174.0,0.00026
1175.0,0.00024
1176.0,0.00028
1177.0,0.00029
1178.0,0.00029
1179.0,0.00038
1180.0,0.00029
1181.0,0.00032
1182.0,0.00025
1183.0,0.00021
1184.0,0.00036
1185.0,0.00024
1186.0,0.00026
1187.0,0.00031
1188.0,0.00028
1189.0,0.00038
1190.0,0.00026
1191.0,0.00024
1192.0,0.00028
1193.0,0.00024
1194.0,0.0003
1195.0,0.00028
1196.0,0.00021
1197.0,0.00021
1198.0,0.00018
1199.0,0.00016
1200.0,0.00019
1201.0,0.00025
1202.0,0.0002
1203.0,0.00017
1204.0,0.00027
1205.0,0.00027
1206.0,0.00033
1207.0,0.00026
1208.0,0.00022
1209.0,0.00019
1210.0,0.00035
1211.0,0.00028
1212.0,0.0003
1213.0,0.00014
1214.0,0.00033
1215.0,0.00029
1216.0,0.00034
1217.0,0.00035
1218.0,0.00028
1219.0,0.00027
1220.0,0.00026
1221.0,0.00024
1222.0,0.00029
1223.0,0.00024
1224.0,0.00026
1225.0,0.00026
1226.0,0.00026
1227.0,0.00022
1228.0,0.00025
1229.0,0.00024
1230.0,0.00025
1231.0,0.00024
1232.0,0.00022
1233.0,0.00018
1234.0,0.00032
1235.0,0.00022
1236.0,0.0002
1237.0,0.00035
1238.0,0.00022
1239.0,0.0003
1240.0,0.00023
1241.0,0.00024
1242.0,0.00025
1243.0,0.00029
1244.0,0.00028
1245.0,0.0002
1246.0,0.00019
1247.0,0.00018
1248.0,0.00028
1249.0,0.00029
1250.0,0.0002
1251.0,0.0003
1252.0,0.00025
1253.0,0.00014
1254.0,0.0003
1255.0,0.00032
1256.0,0.00031
1257.0,0.00036
1258.0,0.00028
1259.0,0.00023
1260.0,0.00025
1261.0,0.00027
1262.0,0.00036
1263.0,0.00023
1264.0,0.0002
1265.0,0.00025
1266.0,0.0003
1267.0,0.00029
1268.0,0.0002
1269.0,0.00021
1270.0,0.00024
1271.0,0.00029
1272.0,0.00028
1273.0,0.00026
1274.0,0.00026
1275.0,0.00025
1276.0,0.00029
1277.0,0.00021
1278.0,0.00028
1279.0,0.0002
1280.0,0.00022
1281.0,0.0003
1282.0,0.00024
1283.0,0.0003
1284.0,0.00027
1285.0,0.00023
1286.0,0.00037
1287.0,0.00024
1288.0,0.00024
1289.0,0.00021
1290.0,0.00018
1291.0,0.00025
1292.0,0.00028
1293.0,0.00029
1294.0,0.00024
1295.0,0.00025
1296.0,0.00025
1297.0,0.00015
1298.0,0.0002
1299.0,0.0002
1300.0,0.00037
1301.0,0.0002
1302.0,0.00016
1303.0,0.00017
1304.0,0.00019
1305.0,0.00028
1306.0,0.0003
1307.0,0.00023
1308.0,0.00026
1309.0,0.00025
1310.0,0.00015
1311.0,0.00028
1312.0,0.00025
1313.0,0.00027
1314.0,0.00025
1315.0,0.00025
1316.0,0.00023
1317.0,0.00026
1318.0,0.00029
1319.0,0.00024
1320.0,0.00028
1321.0,0.00029
1322.0,0.00027
1323.0,0.00018
1324.0,0.00024
1325.0,0.00022
1326.0,0.00025
1327.0,0.00021
1328.0,0.00037
1329.0,0.00027
1330.0,0.00026
1331.0,0.00021
1332.0,0.0002
1333.0,0.00026
1334.0,0.00019
1335.0,0.00025
1336.0,0.00014
1337.0,0.00023
1338.0,0.00033
1339.0,0.00028
1340.0,0.00017
1341.0,0.00026
1342.0,0.00025
1343.0,0.00027
1344.0,0.00023
1345.0,0.00018
1346.0,0.00023
1347.0,0.00023
1348.0,0.00027
1349.0,0.00025
1350.0,0.00019
1351.0,0.00023
1352.0,0.00021
1353.0,0.0003
1354.0,0.0003
1355.0,0.00032
1356.0,0.00034
1357.0,0.00029
1358.0,0.00022
1359.0,0.00028
1360.0,0.00031
1361.0,0.00021
1362.0,0.00028
1363.0,0.00027
1364.0,0.00025
1365.0,0.00019
1366.0,0.00031
1367.0,0.00017
1368.0,0.00026
1369.0,0.0002
1370.0,0.0002
1371.0,0.0003
1372.0,0.00025
1373.0,0.00018
1374.0,0.00026
1375.0,0.00027
1376.0,0.00025
1377.0,0.00018
1378.0,0.00022
1379.0,0.00023
1380.0,0.00025
1381.0,0.00028
1382.0,0.00026
1383.0,0.00024
1384.0,0.00021
1385.0,0.00033
1386.0,0.00023
1387.0,0.00021
1388.0,0.00025
1389.0,0.00031
1390.0,0.00032
1391.0,0.00027
1392.0,0.00025
1393.0,0.00034
1394.0,0.0003
1395.0,0.00027
1396.0,0.0003
1397.0,0.00021
1398.0,0.00017
1399.0,0.00024
1400.0,0.00022
1401.0,0.00024
1402.0,0.00012
1403.0,0.00029
1404.0,0.00027
1405.0,0.00018
1406.0,0.00026
1407.0,0.00022
1408.0,0.00021
1409.0,0.00022
1410.0,0.0003
1411.0,0.00018
1412.0,0.00024
1413.0,0.00011
1414.0,0.00023
1415.0,0.0003
1416.0,0.00025
1417.0,0.00028
1418.0,0.0003
1419.0,0.0002
1420.0,0.00015
1421.0,0.00021
1422.0,0.00026
1423.0,0.00023
1424.0,0.00031
1425.0,0.00022
1426.0,0.00023
1427.0,0.00019
1428.0,0.00021
1429.0,0.00024
1430.0,0.00023
1431.0,0.00019
1432.0,0.00023
1433.0,0.00019
1434.0,0.00028
1435.0,0.0002
1436.0,0.00018
1437.0,0.00021
1438.0,0.00025
1439.0,0.00026
1440.0,0.0002
1441.0,0.00023
1442.0,0.00019
1443.0,0.00023
1444.0,0.00037
1445.0,0.00016
1446.0,0.00028
1447.0,0.00017
1448.0,0.00021
1449.0,0.00027
1450.0,0.00023
1451.0,0.00027
1452.0,0.00021
1453.0,0.00021
1454.0,0.00025
1455.0,0.00017
1456.0,0.0003
1457.0,0.00019
1458.0,0.0003
1459.0,0.00032
1460.0,0.0003
1461.0,0.00017
1462.0,0.00021
1463.0,0.00026
1464.0,0.00016
1465.0,0.00026
1466.0,0.00024
1467.0,0.00021
1468.0,0.00026
1469.0,0.00025
1470.0,0.00027
1471.0,0.00016
1472.0,0.0002
1473.0,0.00018
1474.0,0.00026
1475.0,0.00026
1476.0,0.00022
1477.0,0.00025
1478.0,0.00029
1479.0,0.00019
1480.0,0.00028
1481.0,0.00021
1482.0,0.00022
1483.0,0.00022
1484.0,0.00018
1485.0,0.00022
1486.0,0.00025
1487.0,0.00023
1488.0,0.00022
1489.0,0.00011
1490.0,0.00032
1491.0,0.00024
1492.0,0.00018
1493.0,0.00022
1494.0,0.00024
1495.0,0.00026
1496.0,0.00016
